combo_label,M,organo_id,n_seeds_con_datos,edep_medio_J,s_between_J,se_within_medio_J,ratio_se_within_sobre_s_between,ic95_s_between_low,ic95_s_between_high
GCR_He_min_6,2500,37,3,8.766649999999999e-11,3.0269868554224016e-11,7.943492466666667e-12,0.2624224301614349,1.2465908989827585e-11,1.628670910101724e-10
GCR_He_min_6,2500,38,3,2.1613433333333333e-10,9.122415120094752e-11,1.352361194e-11,0.1482459607676737,-1.0497311017011403e-11,4.4276597768367807e-10
GCR_He_min_6,2500,39,3,5.216336666666667e-11,1.7633276619600038e-11,1.1743435026666668e-11,0.6659814440620416,8.356343822666371e-12,9.597038951066697e-11
GCR_He_min_6,2500,40,3,4.957770000000001e-11,2.147490606708211e-11,4.362352273333334e-12,0.2031371992830358,-3.773229662598625e-12,1.0292862966259864e-10
GCR_He_min_6,2500,41,3,4.55191e-09,4.936439708940038e-11,1.0796239327000001e-10,2.1870497693808946,4.429272142179976e-09,4.674547857820024e-09
GCR_He_min_6,2500,42,3,8.064753333333334e-09,1.1552167127138261e-10,9.675692070666667e-11,0.8375651048136766,7.777758431504515e-09,8.351748235162154e-09
GCR_He_min_6,2500,43,3,4.762646666666666e-10,4.899526615228592e-11,1.9612484853333333e-11,0.40029346493137263,3.5454385493759006e-10,5.979854783957432e-10
GCR_He_min_6,2500,44,3,1.003981e-09,7.949963309978227e-11,3.3424184623333335e-11,0.4204319355962522,8.064770239425542e-10,1.2014849760574458e-09
GCR_He_min_6,2500,45,3,2.1905633333333333e-10,3.9273678314277297e-11,1.4527318766666667e-11,0.3698996220933424,1.2148723371578938e-10,3.166254329508773e-10
GCR_He_min_6,2500,46,3,1.6645933333333332e-10,1.611557036946982e-11,7.532114686666666e-12,0.4673812042629219,1.2642280611554208e-10,2.0649586055112457e-10
GCR_He_min_6,2500,47,3,8.156163333333333e-11,1.9014219595432606e-11,7.704453566666667e-12,0.40519430881703655,3.4323881090956976e-11,1.287993855757097e-10
GCR_He_min_6,2500,48,3,6.710306666666667e-11,1.4563102150755285e-11,4.576596223333333e-12,0.31425970757857913,3.092339556183505e-11,1.032827377714983e-10
GCR_He_min_6,2500,49,3,3.6640266666666665e-10,4.528943781206975e-11,2.2264259546666667e-11,0.4915993799493175,2.5388838587667515e-10,4.789169474566582e-10
GCR_He_min_6,2500,50,3,5.175476666666666e-10,2.1884199810213174e-11,1.6898340536666667e-11,0.7721708211044734,4.6317991291958e-10,5.719154204137533e-10
GCR_He_min_6,2500,51,3,9.589783333333333e-10,7.318335565094931e-11,3.694174123333333e-11,0.5047833746450261,7.771661266763919e-10,1.1407905399902747e-09
GCR_He_min_6,2500,52,3,1.8369766666666665e-09,1.992056154663652e-10,4.7911972986666664e-11,0.24051517259942076,1.3420825448510844e-09,2.3318707884822486e-09
GCR_He_min_6,2500,53,3,1.18284e-09,1.05568222965057e-10,4.624803697666667e-11,0.4380867241837985,9.205728301031515e-10,1.4451071698968485e-09
GCR_He_min_6,2500,54,3,1.9931666666666668e-09,1.3403985762948775e-10,4.9050404566666666e-11,0.36593894856447495,1.6601663269195604e-09,2.326167006413773e-09
GCR_He_min_6,2500,55,3,1.1336456666666666e-11,7.2676826818892774e-12,4.4706747e-12,0.6151444546610036,-6.7189251059179445e-12,2.9391838439251274e-11
GCR_He_min_6,2500,56,3,1.1692986666666667e-10,5.708378491177099e-11,1.4247409953333333e-11,0.24958768896200922,-2.4885561265335676e-11,2.58745294598669e-10
GCR_He_min_6,2500,57,3,9.479256666666666e-12,1.3139551576950155e-12,9.938278e-13,0.7563635594257313,6.21494766438192e-12,1.2743565668951413e-11
GCR_He_min_6,2500,58,3,6.976096666666668e-10,3.028981618190071e-11,2.702150353e-11,0.8920986303689208,6.223595190028917e-10,7.728598143304418e-10
GCR_He_min_6,2500,59,3,1.97128e-11,4.2515214018043e-12,3.1640038333333334e-12,0.7442050819714948,9.150582937994788e-12,3.027501706200521e-11
GCR_He_min_6,2500,60,3,4.7959166666666665e-11,2.535340453141024e-11,8.418356200000001e-12,0.33204046381899244,-1.5027264921784254e-11,1.1094559825511759e-10
GCR_He_min_6,2500,61,3,8.188786666666666e-10,5.658736493541057e-11,2.8324556133333335e-11,0.5005455929192548,6.782965138493112e-10,9.59460819484022e-10
GCR_He_min_6,2500,62,3,1.837334e-11,1.1643892315664895e-11,4.202423413333334e-12,0.36091225334329835,-1.0554026573404408e-11,4.7300706573404407e-11
GCR_He_min_6,2500,63,3,6.660573333333333e-12,1.748029762971253e-12,9.8766996e-13,0.5650189607305002,2.3178762038981226e-12,1.1003270462768544e-11
GCR_He_min_6,2500,64,3,1.3010106666666667e-11,4.033988885970478e-12,2.600922e-12,0.6447519002954026,2.9883139453000374e-12,2.3031899388033296e-11
GCR_He_min_6,2500,65,3,1.0456203333333333e-11,6.4722704322543046e-12,3.783400166666667e-12,0.5845553281908991,-5.6231053961149944e-12,2.6535512062781658e-11
GCR_He_min_6,2500,66,2,3.6736000000000004e-14,2.5477764432932495e-14,2.15874e-14,0.8473035401840902,-1.92168943e-13,2.6564094300000003e-13
GCR_He_min_6,2500,67,3,2.4898866666666668e-12,1.9411283383211255e-12,3.983965e-13,0.20523964960738847,-2.3325326314829625e-12,7.312305964816296e-12
GCR_He_min_6,2500,69,3,1.5124496666666666e-11,2.306888801631395e-11,4.740907106666667e-12,0.20551086395295573,-4.218642325578573e-11,7.243541658911907e-11
GCR_He_min_6,2500,70,3,3.95654e-11,1.30325564188305e-11,8.493145266666666e-12,0.6516868213511109,7.188122136574749e-12,7.194267786342525e-11
GCR_He_min_6,2500,71,3,1.5225433333333334e-10,1.7261686138188636e-11,1.4924083766666667e-11,0.8645785612825847,1.0937046692015251e-10,1.9513819974651418e-10
GCR_He_min_6,2500,72,3,3.9708333333333333e-10,3.543733082969616e-11,1.841938286e-11,0.5197734261792857,3.09045018352138e-10,4.851216483145287e-10
GCR_He_min_6,2500,73,3,6.587633333333333e-10,4.657320835344427e-11,2.3180245073333332e-11,0.4977163028455836,5.430597323366857e-10,7.744669343299809e-10
