combo_label,M,seed_idx,organo_id,edep_J,s1_j,s2_j2,n,se_run_j,se_run_total_j
GCR_He_min_6,5000,0,83,2.48091e-10,2.48091e-10,2.1244e-22,2188,6.2062e-15,1.35791656e-11
GCR_He_min_6,5000,0,84,1.51374e-09,1.51374e-09,1.90409e-21,11118,3.70647e-15,4.120853346e-11
GCR_He_min_6,5000,0,85,2.5066e-09,2.5066e-09,3.11644e-21,19305,2.73665e-15,5.283102825e-11
GCR_He_min_6,5000,0,86,2.03582e-09,2.03582e-09,2.9966e-21,13885,3.7411e-15,5.19451735e-11
GCR_He_min_6,5000,0,87,1.42688e-09,1.42688e-09,1.77646e-21,11643,3.4374e-15,4.0021648199999996e-11
GCR_He_min_6,5000,0,88,2.45522e-09,2.45522e-09,6.63589e-21,18368,4.324e-15,7.9423232e-11
GCR_He_min_6,5000,0,89,9.39834e-10,9.39834e-10,1.04027e-21,7181,4.21787e-15,3.028852447e-11
GCR_He_min_6,5000,0,90,3.39911e-10,3.39911e-10,4.13067e-22,2503,7.65427e-15,1.915863781e-11
GCR_He_min_6,5000,0,91,8.469e-11,8.469e-11,8.62482e-23,467,1.80485e-14,8.428649500000001e-12
GCR_He_min_6,5000,0,92,7.36635e-10,7.36635e-10,5.39402e-22,6364,3.34886e-15,2.131214504e-11
GCR_He_min_6,5000,0,93,2.55249e-10,2.55249e-10,1.05056e-22,2409,3.66716e-15,8.83418844e-12
GCR_He_min_6,5000,0,94,5.28688e-11,5.28688e-11,2.32933e-23,493,8.52398e-15,4.20232214e-12
GCR_He_min_6,5000,0,95,9.27347e-09,9.27347e-09,9.92576e-21,79637,1.18102e-15,9.405288974e-11
GCR_He_min_6,5000,0,96,2.86992e-10,2.86992e-10,3.22168e-22,2237,7.55299e-15,1.6896038629999998e-11
GCR_He_min_6,5000,0,97,1.80636e-09,1.80636e-09,1.19323e-21,37058,8.97099e-16,3.3244694742e-11
GCR_He_min_6,5000,0,98,2.10844e-10,2.10844e-10,8.54145e-23,2096,3.82381e-15,8.01470576e-12
GCR_He_min_6,5000,0,99,1.75533e-09,1.75533e-09,8.42879e-22,41735,6.64481e-16,2.7732114535000002e-11
GCR_He_min_6,5000,0,100,4.62869e-12,4.62869e-12,9.40061e-25,49,1.46213e-14,7.164437e-13
GCR_He_min_6,5000,0,101,3.48555e-11,3.48555e-11,9.33471e-23,215,4.36581e-14,9.3864915e-12
GCR_He_min_6,5000,0,102,1.10759e-11,1.10759e-11,2.45568e-24,97,1.13092e-14,1.0969924e-12
GCR_He_min_6,5000,0,103,1.47183e-09,1.47183e-09,2.17475e-21,11741,3.79985e-15,4.461403885e-11
GCR_He_min_6,5000,0,104,3.04819e-11,3.04819e-11,7.97741e-24,339,6.76028e-15,2.29173492e-12
GCR_He_min_6,5000,0,105,1.25954e-10,1.25954e-10,1.62149e-22,823,1.45325e-14,1.19602475e-11
GCR_He_min_6,5000,0,106,2.37204e-09,2.37204e-09,1.56049e-21,19749,1.80851e-15,3.5716263989999996e-11
GCR_He_min_6,5000,0,107,1.94466e-07,1.94466e-07,2.43428e-19,1601644,2.92728e-16,4.68846044832e-10
GCR_He_min_6,5000,0,108,1.26231e-08,1.26231e-08,1.17898e-20,118193,8.6456e-16,1.0218494008e-10
GCR_He_min_6,5000,0,109,7.20728e-08,7.20728e-08,9.20384e-20,540317,5.31349e-16,2.87096897633e-10
GCR_He_min_6,5000,0,110,1.48777e-10,1.48777e-10,1.83767e-22,1298,9.95129e-15,1.2916774419999999e-11
GCR_He_min_6,5000,0,111,0.0,0.0,0.0,0,0.0,0.0
GCR_He_min_6,5000,0,112,0.0,0.0,0.0,0,0.0,0.0
GCR_He_min_6,5000,0,113,1.02922e-09,1.02922e-09,1.16844e-21,7994,4.02651e-15,3.218792094e-11
GCR_He_min_6,5000,0,114,1.39656e-12,1.39656e-12,2.19071e-25,20,1.7885e-14,3.5770000000000003e-13
GCR_He_min_6,5000,0,115,5.90075e-10,5.90075e-10,1.05408e-21,5111,6.1442e-15,3.14030062e-11
GCR_He_min_6,5000,0,116,1.62701e-09,1.62701e-09,1.40563e-21,15024,2.3339e-15,3.50645136e-11
GCR_He_min_6,5000,0,117,1.7817e-07,1.7817e-07,2.00767e-19,1542300,2.75226e-16,4.244810598e-10
GCR_He_min_6,5000,0,118,7.68607e-09,7.68607e-09,6.53075e-21,80282,9.48216e-16,7.6124676912e-11
GCR_He_min_6,5000,0,119,4.55162e-08,4.55162e-08,5.0696e-20,364229,5.82467e-16,2.1215137294300001e-10
GCR_He_min_6,5000,0,120,8.82205e-11,8.82205e-11,1.17304e-22,700,1.47314e-14,1.031198e-11
GCR_He_min_6,5000,0,121,7.52911e-11,7.52911e-11,5.62829e-23,554,1.22603e-14,6.7922062e-12
GCR_He_min_6,5000,0,122,3.94485e-10,3.94485e-10,2.50115e-22,3442,4.15936e-15,1.4316517119999999e-11
GCR_He_min_6,5000,0,123,1.34516e-08,1.34516e-08,1.34581e-20,112851,9.64808e-16,1.08879547608e-10
GCR_He_min_6,5000,0,124,3.01448e-09,3.01448e-09,3.02563e-21,29156,1.78682e-15,5.2096523920000005e-11
GCR_He_min_6,5000,0,125,6.50229e-09,6.50229e-09,7.14867e-21,48376,1.63746e-15,7.921376496e-11
GCR_He_min_6,5000,0,126,1.4896e-10,1.4896e-10,5.18784e-23,1312,4.50874e-15,5.91546688e-12
GCR_He_min_6,5000,0,127,6.80021e-10,6.80021e-10,4.6552e-22,6215,3.18233e-15,1.977818095e-11
GCR_He_min_6,5000,0,128,5.25744e-11,5.25744e-11,3.51254e-23,231,2.08784e-14,4.8229104e-12
GCR_He_min_6,5000,0,129,3.52781e-10,3.52781e-10,1.64581e-22,2649,4.09451e-15,1.0846356990000001e-11
GCR_He_min_6,5000,0,130,4.49096e-10,4.49096e-10,6.80825e-22,2768,8.90944e-15,2.466132992e-11
GCR_He_min_6,5000,0,131,6.23165e-11,6.23165e-11,1.8102e-23,599,5.69533e-15,3.4115026700000002e-12
GCR_He_min_6,5000,0,132,6.91537e-11,6.91537e-11,4.78778e-23,495,1.25015e-14,6.1882425e-12
GCR_He_min_6,5000,0,133,9.52167e-11,9.52167e-11,1.8398e-22,654,1.99585e-14,1.3052859e-11
GCR_He_min_6,5000,0,134,5.96451e-12,5.96451e-12,1.60663e-24,58,1.73333e-14,1.0053314e-12
GCR_He_min_6,5000,0,135,1.5042e-10,1.5042e-10,2.30309e-22,1202,1.21036e-14,1.45485272e-11
GCR_He_min_6,5000,0,136,1.5904e-10,1.5904e-10,1.98735e-22,1180,1.1289e-14,1.332102e-11
GCR_He_min_6,5000,0,137,1.42527e-09,1.42527e-09,1.46435e-21,13397,2.70455e-15,3.623285635e-11
GCR_He_min_6,5000,0,138,5.11859e-09,5.11859e-09,4.51604e-21,48517,1.29968e-15,6.305657456000001e-11
GCR_He_min_6,5000,0,139,0.0,0.0,0.0,0,0.0,0.0
GCR_He_min_6,5000,0,140,3.01337e-13,3.01337e-13,3.2141e-28,2741,6.19554e-18,1.6981975139999998e-14
GCR_He_min_6,5000,0,141,1.04861e-10,1.04861e-10,4.18576e-23,844,6.3655e-15,5.372482e-12
GCR_He_min_6,5000,1,0,5.43514e-10,5.43514e-10,1.58319e-24,5128583,2.40836e-19,1.235147415388e-12
GCR_He_min_6,5000,1,1,4.0078e-11,4.0078e-11,1.26046e-23,348,8.13377e-15,2.8305519600000003e-12
GCR_He_min_6,5000,1,2,4.74964e-11,4.74964e-11,1.35563e-22,311,3.6481e-14,1.1345591000000001e-11
GCR_He_min_6,5000,1,3,1.13653e-11,1.13653e-11,2.15131e-24,126,8.45584e-15,1.06543584e-12
GCR_He_min_6,5000,1,4,3.42314e-11,3.42314e-11,6.54174e-24,358,5.05713e-15,1.81045254e-12
GCR_He_min_6,5000,1,5,5.17175e-11,5.17175e-11,1.49173e-23,453,6.63459e-15,3.0054692700000003e-12
GCR_He_min_6,5000,1,6,5.41865e-12,5.41865e-12,1.0903e-24,50,1.43294e-14,7.164700000000001e-13
GCR_He_min_6,5000,1,7,1.43675e-11,1.43675e-11,2.3625e-24,191,5.943e-15,1.135113e-12
GCR_He_min_6,5000,1,8,1.87074e-10,1.87074e-10,1.2789e-22,1762,5.90045e-15,1.03965929e-11
GCR_He_min_6,5000,1,9,1.72901e-12,1.72901e-12,3.38857e-25,15,2.57791e-14,3.866865e-13
GCR_He_min_6,5000,1,10,2.75876e-09,2.75876e-09,2.9059e-21,22089,2.29123e-15,5.061097947e-11
GCR_He_min_6,5000,1,11,5.75926e-11,5.75926e-11,1.33249e-23,587,4.72336e-15,2.77261232e-12
GCR_He_min_6,5000,1,12,4.07109e-10,4.07109e-10,5.05091e-22,3086,6.88569e-15,2.124923934e-11
GCR_He_min_6,5000,1,13,3.20569e-10,3.20569e-10,2.89558e-22,1869,8.19685e-15,1.5319912649999998e-11
GCR_He_min_6,5000,1,14,2.91584e-10,2.91584e-10,1.10037e-22,2757,3.22849e-15,8.900946930000001e-12
GCR_He_min_6,5000,1,15,9.03976e-11,9.03976e-11,4.08658e-23,926,6.11614e-15,5.66354564e-12
GCR_He_min_6,5000,1,16,3.73495e-10,3.73495e-10,4.11783e-22,2227,8.39227e-15,1.868958529e-11
GCR_He_min_6,5000,1,17,2.26101e-10,2.26101e-10,1.50852e-22,1949,5.72926e-15,1.116632774e-11
GCR_He_min_6,5000,1,18,1.0628e-10,1.0628e-10,2.70383e-23,1171,3.56293e-15,4.17219103e-12
GCR_He_min_6,5000,1,19,1.4528e-09,1.4528e-09,3.08039e-21,8197,6.48216e-15,5.313426552e-11
GCR_He_min_6,5000,1,20,9.58868e-10,9.58868e-10,7.57191e-22,8189,3.10132e-15,2.5396709480000002e-11
GCR_He_min_6,5000,1,21,1.38691e-10,1.38691e-10,2.76341e-22,1293,1.25105e-14,1.61760765e-11
GCR_He_min_6,5000,1,22,1.0506e-09,1.0506e-09,3.81021e-21,5946,1.01261e-14,6.020979060000001e-11
GCR_He_min_6,5000,1,23,9.003e-10,9.003e-10,8.71376e-22,8094,3.43129e-15,2.777286126e-11
